Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg)
25/12/2024,08:05:00,508,DTTJ,LFPG,0.112,7.269,0.363,10.129,1.2,0.0,0,0.475,0,MaxLandingWeightReached,,1.185,ORY,9.654,1163,1.472
25/12/2024,12:05:00,509,LFPG,DTTJ,0.186,6.377,0.319,9.115,1.2,0.0,0,0.505,0,MaxLandingWeightReached,,1.033,SFA,8.61,1005,1.566
16/12/2024,15:00:00,520,DTTA,LFPG,0.112,5.469,0.273,8.25,1.2,0.0,0,0.385,0,MaxLandingWeightReached,,1.196,ORY,7.865,915,1.193
14/12/2024,18:35:00,521,LFPG,DTTA,0.186,5.277,0.264,7.743,1.2,0.0,0,0.45,0,MaxLandingWeightReached,,0.816,NBE,7.293,833,1.395
16/12/2024,18:35:00,521,LFPG,DTTA,0.186,5.504,0.275,7.987,1.2,0.0,0,0.461,0,MaxLandingWeightReached,,0.822,NBE,7.526,865,1.429
19/10/2024,18:45:00,572,DTMB,LFLL,0.099,4.423,0.221,7.696,1.2,0.0,0,0.32,0,MaxLandingWeightReached,,1.753,MRS,7.376,680,0.992
08/12/2024,08:00:00,574,DTTJ,LFLL,0.112,5.55,0.278,8.256,1.2,0.0,0,0.39,0,MaxLandingWeightReached,,1.116,GVA,7.866,881,1.209
12/04/2024,18:45:00,598,DTTA,LFLL,0.112,3.794,0.2,6.955,1.2,0.0,0,0.312,0,MaxLandingWeightReached,,1.649,MRS,6.643,617,0.967
20/10/2024,19:50:00,635,LIMC,DTTA,0.198,3.721,0.2,6.128,1.2,0.0,0,0.398,0,MaxLandingWeightReached,,0.809,NBE,5.73,576,1.234
06/05/2024,07:20:00,7418,EPWA,EPKT,0.186,1.746,0.2,10.236,1.2,6.241,0,0.386,0,price,price,0.663,KRK,9.85,203,1.197
04/08/2024,01:00:00,7470,DTMB,EPKT,0.099,6.086,0.304,9.34,1.2,0.0,0,0.403,0,MaxLandingWeightReached,,1.651,POZ,8.937,1001,1.249
12/10/2024,20:40:00,779,LFQQ,DTMB,0.112,5.844,0.292,8.286,1.2,0.0,0,0.404,0,MaxLandingWeightReached,,0.838,NBE,7.882,1016,1.252
24/11/2024,09:30:00,1000,DAAG,LFPG,0.126,5.225,0.261,9.476,1.2,0.0,0,0.387,0,MaxLandingWeightReached,,2.664,LYS,9.089,783,1.2
