Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg),Route,Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
2024-07-12,04:00:00,066,DTMB,DTTA,0.099,0.82,0.2,3.904,1.2,0.0,0,0.299,0,price,price,1.585,DJE,3.605,86,0.927,DTMB -> DTTA,,,,,,,,,,,,,,
2024-06-30,12:45:00,071,DTMB,DTTA,0.099,0.844,0.2,3.13,1.2,0.0,0,0.299,0,TankCapacityReached,,0.787,NBE,2.831,86,0.927,DTMB -> DTTA,,,,,,,,,,,,,,
2024-11-19,10:10:00,167,LFSB,DTTA,0.136,4.263,0.213,6.578,1.2,0.0,0,0.349,0,MaxLandingWeightReached,,0.766,NBE,6.229,730,1.082,LFSB -> DTTA,,,,,,,,,,,,,,
2024-09-01,10:10:00,215,EDDL,DTMB,0.198,6.27,0.314,8.938,1.2,0.0,0,0.512,0,MaxLandingWeightReached,,0.956,NBE,8.426,1012,1.587,EDDL -> DTMB,,,,,,,,,,,,,,
2024-06-04,08:50:00,2636,DTMB,EDDF,0.099,5.727,0.286,8.588,1.2,0.0,0,0.385,0,MaxLandingWeightReached,,1.276,CGN,8.203,950,1.193,DTMB -> EDDF,,,,,,,,,,,,,,
2024-12-25,08:05:00,508,DTTJ,LFPG,0.112,7.269,0.363,10.129,1.2,0.0,0,0.475,0,MaxLandingWeightReached,,1.185,ORY,9.654,1163,1.472,DTTJ -> LFPG,,,,,,,,,,,,,,
2024-12-25,12:05:00,509,LFPG,DTTJ,0.186,6.377,0.319,9.115,1.2,0.0,0,0.505,0,MaxLandingWeightReached,,1.033,SFA,8.61,1005,1.566,LFPG -> DTTJ,,,,,,,,,,,,,,
2024-12-16,15:00:00,520,DTTA,LFPG,0.112,5.469,0.273,8.25,1.2,0.0,0,0.385,0,MaxLandingWeightReached,,1.196,ORY,7.865,915,1.193,DTTA -> LFPG,,,,,,,,,,,,,,
2024-12-14,18:35:00,521,LFPG,DTTA,0.186,5.277,0.264,7.743,1.2,0.0,0,0.45,0,MaxLandingWeightReached,,0.816,NBE,7.293,833,1.395,LFPG -> DTTA,,,,,,,,,,,,,,
2024-12-16,18:35:00,521,LFPG,DTTA,0.186,5.504,0.275,7.987,1.2,0.0,0,0.461,0,MaxLandingWeightReached,,0.822,NBE,7.526,865,1.429,LFPG -> DTTA,,,,,,,,,,,,,,
2024-10-19,18:45:00,572,DTMB,LFLL,0.099,4.423,0.221,7.696,1.2,0.0,0,0.32,0,MaxLandingWeightReached,,1.753,MRS,7.376,680,0.992,DTMB -> LFLL,,,,,,,,,,,,,,
2024-12-08,08:00:00,574,DTTJ,LFLL,0.112,5.55,0.278,8.256,1.2,0.0,0,0.39,0,MaxLandingWeightReached,,1.116,GVA,7.866,881,1.209,DTTJ -> LFLL,,,,,,,,,,,,,,
2024-04-12,18:45:00,598,DTTA,LFLL,0.112,3.794,0.2,6.955,1.2,0.0,0,0.312,0,MaxLandingWeightReached,,1.649,MRS,6.643,617,0.967,DTTA -> LFLL,,,,,,,,,,,,,,
2024-10-20,19:50:00,635,LIMC,DTTA,0.198,3.721,0.2,6.128,1.2,0.0,0,0.398,0,MaxLandingWeightReached,,0.809,NBE,5.73,576,1.234,LIMC -> DTTA,,,,,,,,,,,,,,
2024-05-06,07:20:00,7418,EPWA,EPKT,0.186,1.746,0.2,10.236,1.2,6.241,0,0.386,0,price,price,0.663,KRK,9.85,203,1.197,EPWA -> EPKT,,,,,,,,,,,,,,
