Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
03/07/2020,EAC,7632,BJ,320,C,DTTJ,2020-07-03 17:10:00,EPKT,2020-07-03 20:20:00,10610,0.800000011920929,12288,4080
03/07/2020,EAC,7633,BJ,320,C,EPKT,2020-07-03 21:10:00,DTTJ,2020-07-04 00:00:00,7959,0.794200003147125,10401,3500
04/07/2020,EAC,7654,BJ,320,C,DTTJ,2020-07-04 02:49:00,EPKT,2020-07-04 05:47:00,9250,0.779999971389771,10715,3340
04/07/2020,EAC,7655,BJ,320,C,EPKT,2020-07-04 06:41:00,DTTJ,2020-07-04 09:30:00,8741,0.796000003814697,10298,3240
04/07/2020,EAC,134,BJ,320,J,DTTJ,2020-07-04 10:40:00,LFSB,2020-07-04 13:10:00,7250,0.777999997138977,8881,3600
04/07/2020,EAC,135,BJ,320,J,LFSB,2020-07-04 14:15:00,DTTJ,2020-07-04 16:50:00,6779,0.800000011920929,9023,3300
04/07/2020,EAC,770,BJ,320,J,DTTJ,2020-07-04 17:45:00,LFBD,2020-07-04 20:15:00,7800,0.777999997138977,9368,4000
04/07/2020,EAC,771,BJ,320,J,LFBD,2020-07-04 21:37:00,DTTJ,2020-07-04 23:51:00,6156,0.800000011920929,8925,3440
05/07/2020,EAC,554,BJ,320,J,DTTJ,2020-07-05 06:10:00,,2020-07-05 09:05:00,9332,0.779999971389771,10719,4520
05/07/2020,EAC,555,BJ,320,J,,2020-07-05 09:55:00,DTTJ,2020-07-05 12:55:00,6911,0.791999995708466,9994,3380
05/07/2020,EAC,508,BJ,320,J,DTTJ,2020-07-05 14:05:00,,2020-07-05 16:54:00,9750,0.778999984264374,10975,4420
05/07/2020,EAC,509,BJ,320,J,,2020-07-05 18:13:00,DTTJ,2020-07-05 21:04:00,7706,0.790000021457672,10508,3500
06/07/2020,EAC,7646,BJ,320,C,DTTJ,2020-07-06 02:30:00,EPWA,2020-07-06 05:25:00,11000,0.779999971389771,12080,4480
06/07/2020,EAC,7647,BJ,320,C,EPWA,2020-07-06 06:45:00,DTTJ,2020-07-06 10:05:00,9503,0.792999982833862,12016,2740
06/07/2020,EAC,736,BJ,320,R,DTTJ,2020-07-06 11:04:00,DTTJ,2020-07-06 11:25:00,11194,0.77700001001358,11438,11200
06/07/2020,EAC,737,BJ,320,J,LFRS,2020-07-06 17:56:00,DTTJ,2020-07-06 20:24:00,7666,0.800000011920929,10133,3880
06/07/2020,EAC,588,BJ,320,J,DTTJ,2020-07-06 21:15:00,LFML,2020-07-06 23:07:00,12050,0.778999984264374,13267,4767
06/07/2020,EAC,589,BJ,320,J,LFML,2020-07-06 23:50:00,DTTJ,2020-07-07 01:44:00,8500,0.800000011920929,11567,4000
07/07/2020,EAC,2046,BJ,320,J,DTTJ,2020-07-07 04:24:00,EDDF,2020-07-07 07:13:00,10850,0.782000005245209,12485,5580
07/07/2020,EAC,2047,BJ,320,J,EDDF,2020-07-07 09:10:00,DTTJ,2020-07-07 11:56:00,5460,0.797999978065491,9937,3100
07/07/2020,EAC,2022,BJ,320,J,DTTJ,2020-07-07 13:03:00,EDDL,2020-07-07 15:57:00,10000,0.777999997138977,10880,3700
07/07/2020,EAC,2023,BJ,320,J,EDDL,2020-07-07 17:00:00,DTTJ,2020-07-07 19:55:00,9695,0.77700001001358,11233,3980
08/07/2020,EAC,740,BJ,320,J,DTTJ,2020-07-08 03:43:00,LFBO,2020-07-08 05:57:00,5850,0.781000018119812,8549,3360
08/07/2020,EAC,741,BJ,320,J,LFBO,2020-07-08 06:55:00,DTTJ,2020-07-08 08:55:00,6552,0.790000021457672,8536,3780
08/07/2020,EAC,2344,BJ,320,C,DTTJ,2020-07-08 12:29:00,EDDL,2020-07-08 15:25:00,9000,0.778999984264374,10791,3800
08/07/2020,EAC,2345,BJ,320,C,EDDL,2020-07-08 16:48:00,DTTJ,2020-07-08 19:40:00,8705,0.806999981403351,10825,3400
09/07/2020,EAC,554,BJ,320,J,DTTJ,2020-07-09 05:59:00,,2020-07-09 08:56:00,18700,0.779999971389771,17986,10500
09/07/2020,EAC,555,BJ,320,J,,2020-07-09 10:25:00,DTTJ,2020-07-09 13:05:00,0,0.800000011920929,10500,3800
09/07/2020,EAC,508,BJ,320,J,DTTJ,2020-07-09 14:22:00,,2020-07-09 17:21:00,18900,0.779999971389771,18542,10960
09/07/2020,EAC,509,BJ,320,J,,2020-07-09 18:50:00,DTTJ,2020-07-09 21:40:00,0,0.800000011920929,10960,3820
10/07/2020,EAC,7666,BJ,320,C,DTTJ,2020-07-10 01:16:00,EPWA,2020-07-10 04:36:00,11350,0.779999971389771,12673,4300
10/07/2020,EAC,7667,BJ,320,C,EPWA,2020-07-10 06:16:00,DTTJ,2020-07-10 09:31:00,8473,0.790000021457672,10994,2960
10/07/2020,EAC,574,BJ,320,J,DTTJ,2020-07-10 10:30:00,LFLL,2020-07-10 12:40:00,7500,0.778999984264374,8803,3420
10/07/2020,EAC,575,BJ,320,J,LFLL,2020-07-10 13:46:00,DTTJ,2020-07-10 15:53:00,6233,0.783999979496002,8307,3180
