"Date of operation (UTC)","AC registration","Flight ID","ICAO Call sign","AC Type","Flight type","Departing Airport ICAO Code","Departure Time/ Block-off time (UTC)","Destination Airport ICAO Code","Arrival Time/ Block-on Time(UTC)","Uplift Volume (Litres)","Uplift density","Block On (tonnes)","Block Off (tonnes)","UpdatedAt"
"20/06/2020","EAC","2873","BJ",320,"C","EDDP",44002.38194444445,"DTTJ",44002.51180555556,9054,0.800000011920929,11303,3700,"2025-05-01T17:00:00.125Z"
"20/06/2020","EAC","2806","BJ",320,"C","DTTJ",44002.58333333334,"EDDV",44002.70138888889,10250,0.779999971389771,11695,4600,"2025-05-01T17:00:00.125Z"
"20/06/2020","EAC","2807","BJ",320,"C","EDDV",44002.75694444445,"DTTJ",44002.89583333334,8327,0.811999976634979,11362,3400,"2025-05-01T17:00:00.125Z"
"21/06/2020","EAC","2608","BJ",320,"J","DTTJ",44003.20833333334,"EDDF",44003.32152777778,10530,0.782999992370605,11645,5140,"2025-05-01T17:00:00.125Z"
"21/06/2020","EAC","2609","BJ",320,"J","EDDF",44003.38541666666,"DTTJ",44003.50902777778,5470,0.796999990940094,9500,2940,"2025-05-01T17:00:00.125Z"
"21/06/2020","EAC","0508","BJ",320,"J","DTTJ",44003.58333333334,"",44003.70486111111,10900,0.783999979496002,11486,4300,"2025-05-01T17:00:00.125Z"
"21/06/2020","EAC","0509","BJ",320,"J","",44003.75694444445,"DTTJ",44003.86458333334,7272,0.800000011920929,10118,3900,"2025-05-01T17:00:00.125Z"
"22/06/2020","EAC","0704","BJ",320,"J","DTTJ",44004.19791666666,"LFRS",44004.31944444445,9650,0.782000005245209,11446,4700,"2025-05-01T17:00:00.125Z"
"22/06/2020","EAC","0705","BJ",320,"J","LFRS",44004.35763888889,"DTTJ",44004.46875,6287,0.791999995708466,9679,3500,"2025-05-01T17:00:00.125Z"
"22/06/2020","EAC","0736","BJ",320,"J","DTTJ",44004.52430555555,"LFRS",44004.64097222222,9350,0.782000005245209,10812,3980,"2025-05-01T17:00:00.125Z"
"22/06/2020","EAC","0737","BJ",320,"J","LFRS",44004.67361111111,"DTTJ",44004.78472222222,6358,0.791999995708466,9016,3380,"2025-05-01T17:00:00.125Z"
"23/06/2020","EAC","0554","BJ",320,"J","DTTJ",44005.24652777778,"",44005.36805555555,9150,0.781000018119812,10526,3500,"2025-05-01T17:00:00.125Z"
"23/06/2020","EAC","0555","BJ",320,"J","",44005.41666666666,"DTTJ",44005.52777777778,7930,0.791999995708466,9781,3200,"2025-05-01T17:00:00.125Z"
"23/06/2020","EAC","2022","BJ",320,"J","DTTJ",44005.57638888889,"EDDL",44005.70138888889,9850,0.787999987602234,10962,3600,"2025-05-01T17:00:00.125Z"
"23/06/2020","EAC","2023","BJ",320,"J","EDDL",44005.75,"DTTJ",44005.87152777778,9155,0.802999973297119,10951,3700,"2025-05-01T17:00:00.125Z"
"24/06/2020","EAC","0762","BJ",320,"J","DTTJ",44006.42013888889,"LFQQ",44006.54166666666,9750,0.781000018119812,11315,3800,"2025-05-01T17:00:00.125Z"
"24/06/2020","EAC","0763","BJ",320,"J","LFQQ",44006.60069444445,"DTTJ",44006.72916666666,9045,0.800000011920929,11036,3600,"2025-05-01T17:00:00.125Z"
"24/06/2020","EAC","0770","BJ",320,"J","DTTJ",44006.76388888889,"LFBD",44006.875,7430,0.779999971389771,9395,3300,"2025-05-01T17:00:00.125Z"
"24/06/2020","EAC","0771","BJ",320,"J","LFBD",44006.90972222222,"DTTJ",44007.00694444445,6587,0.791999995708466,8517,3200,"2025-05-01T17:00:00.125Z"
"25/06/2020","EAC","0702","BJ",320,"J","DTTJ",44007.09375,"",44007.21180555555,9900,0.782000005245209,10942,4800,"2025-05-01T17:00:00.125Z"
"25/06/2020","EAC","0703","BJ",320,"J","",44007.27222222222,"DTTJ",44007.38402777778,6635,0.792999982833862,10062,3700,"2025-05-01T17:00:00.125Z"
"25/06/2020","EAC","0736","BJ",320,"J","DTTJ",44007.42013888889,"LFRS",44007.54027777778,8520,0.782000005245209,10363,3560,"2025-05-01T17:00:00.125Z"
"25/06/2020","EAC","0737","BJ",320,"J","LFRS",44007.58333333334,"DTTJ",44007.68958333333,7606,0.790000021457672,9569,3500,"2025-05-01T17:00:00.125Z"
"25/06/2020","EAC","6846","BJ",320,"C","DTTJ",44007.74305555555,"LPPT",44007.86805555555,11050,0.782000005245209,12141,4400,"2025-05-01T17:00:00.125Z"
"25/06/2020","EAC","6847","BJ",320,"C","LPPT",44007.92013888889,"DTTJ",44008.03819444445,7973,0.800999999046326,10786,4100,"2025-05-01T17:00:00.125Z"
"26/06/2020","EAC","0702","BJ",320,"J","DTTJ",44008.44027777778,"",44008.56041666667,8100,0.781000018119812,10426,3540,"2025-05-01T17:00:00.125Z"
"26/06/2020","EAC","0703","BJ",320,"J","",44008.60694444444,"DTTJ",44008.72083333333,8207,0.792999982833862,10048,3360,"2025-05-01T17:00:00.125Z"
"27/06/2020","EAC","2806","BJ",320,"C","DTTJ",44009.1875,"EDDV",44009.31944444445,11100,0.779999971389771,12018,4200,"2025-05-01T17:00:00.125Z"
"27/06/2020","EAC","2807","BJ",320,"C","EDDV",44009.375,"DTTJ",44009.49652777778,7956,0.800000011920929,10565,3580,"2025-05-01T17:00:00.125Z"
"27/06/2020","EAC","2872","BJ",320,"C","DTTJ",44009.55347222222,"EDDP",44009.67430555556,9630,0.779999971389771,11091,3800,"2025-05-01T17:00:00.125Z"
"27/06/2020","EAC","2873","BJ",320,"C","EDDP",44009.71736111111,"DTTJ",44009.83472222222,8606,0.800000011920929,10685,3900,"2025-05-01T17:00:00.125Z"
"28/06/2020","EAC","2640","BJ",320,"J","DTTJ",44010.24652777778,"EDDL",44010.37152777778,8900,0.779999971389771,10842,3500,"2025-05-01T17:00:00.125Z"
"28/06/2020","EAC","2641","BJ",320,"J","EDDL",44010.44791666666,"DTTJ",44010.57291666666,9474,0.800000011920929,11079,3680,"2025-05-01T17:00:00.126Z"
"28/06/2020","EAC","0508","BJ",320,"J","DTTJ",44010.63125,"",44010.76597222222,10700,0.779999971389771,12026,3700,"2025-05-01T17:00:00.126Z"
"28/06/2020","EAC","0509","BJ",320,"J","",44010.80694444444,"DTTJ",44010.92291666667,8748,0.791000008583069,10620,3900,"2025-05-01T17:00:00.126Z"
"29/06/2020","EAC","0704","BJ",320,"J","DTTJ",44011.21180555555,"LFRS",44011.33333333334,8800,0.779999971389771,10764,4120,"2025-05-01T17:00:00.126Z"
"29/06/2020","EAC","0705","BJ",320,"J","LFRS",44011.37152777778,"DTTJ",44011.47916666666,7061,0.795000016689301,9733,3820,"2025-05-01T17:00:00.126Z"
"29/06/2020","EAC","0762","BJ",320,"J","DTTJ",44011.54861111111,"LFQQ",44011.66944444444,9700,0.77700001001358,11357,4040,"2025-05-01T17:00:00.126Z"
"29/06/2020","EAC","0763","BJ",320,"J","LFQQ",44011.71041666667,"DTTJ",44011.82847222222,8689,0.796999990940094,10965,4140,"2025-05-01T17:00:00.126Z"
"30/06/2020","EAC","0134","BJ",320,"J","DTTJ",44012.37847222222,"LFSB",44012.47916666666,7000,0.778999984264374,9593,3900,"2025-05-01T17:00:00.126Z"
"30/06/2020","EAC","0135","BJ",320,"J","LFSB",44012.52083333334,"DTTJ",44012.63125,5839,0.800000011920929,8571,3000,"2025-05-01T17:00:00.126Z"
"30/06/2020","EAC","0702","BJ",320,"J","DTTJ",44012.66666666666,"",44012.78472222222,10078,0.774999976158142,10810,4200,"2025-05-01T17:00:00.126Z"
"30/06/2020","EAC","0703","BJ",320,"J","",44012.83125,"DTTJ",44012.94097222222,7349,0.791000008583069,10013,3740,"2025-05-01T17:00:00.126Z"
"01/07/2020","EAC","7614","BJ",320,"C","DTTJ",44013.09722222222,"EPKT",44013.20833333334,8750,0.800000011920929,10740,3500,"2025-05-01T17:00:00.126Z"
"01/07/2020","EAC","7615","BJ",320,"C","EPKT",44013.27916666667,"DTTJ",44013.40277777778,9871,0.795000016689301,11347,3800,"2025-05-01T17:00:00.126Z"
"01/07/2020","EAC","0770","BJ",320,"J","DTTJ",44013.74652777778,"LFBD",44013.85625,8262,0.778999984264374,10236,3920,"2025-05-01T17:00:00.126Z"
